page title,userid,timestamp
A Song of Ice and Fire,204692,2016-05-05T02:52:59Z
A Song of Ice and Fire,14604687,2016-05-01T17:51:07Z
A Song of Ice and Fire,9929111,2016-04-27T17:14:57Z
A Song of Ice and Fire,0,2016-04-27T17:14:36Z
A Song of Ice and Fire,13286072,2016-04-27T17:13:32Z
A Song of Ice and Fire,0,2016-04-27T17:13:25Z
A Song of Ice and Fire,3174456,2016-04-26T06:21:38Z
A Song of Ice and Fire,0,2016-04-26T06:20:39Z
A Song of Ice and Fire,3174456,2016-04-26T06:19:52Z
A Song of Ice and Fire,0,2016-04-26T06:19:43Z
A Song of Ice and Fire,1215485,2016-04-22T11:57:15Z
A Song of Ice and Fire,245620,2016-04-20T04:45:23Z
A Song of Ice and Fire,7611264,2016-04-20T02:11:40Z
A Song of Ice and Fire,0,2016-04-20T00:11:14Z
A Song of Ice and Fire,27501867,2016-04-15T13:16:59Z
A Song of Ice and Fire,27991762,2016-04-03T09:29:51Z
A Song of Ice and Fire,27991762,2016-04-03T09:26:23Z
A Song of Ice and Fire,27991762,2016-04-03T09:22:08Z
A Song of Ice and Fire,27991762,2016-04-03T09:18:38Z
A Song of Ice and Fire,27991762,2016-04-03T08:45:48Z
A Song of Ice and Fire,0,2016-03-31T20:23:10Z
A Song of Ice and Fire,236191,2016-03-31T14:20:20Z
A Song of Ice and Fire,252261,2016-03-28T00:25:43Z
A Song of Ice and Fire,13286072,2016-03-27T21:46:34Z
A Song of Ice and Fire,0,2016-03-27T21:46:26Z
A Song of Ice and Fire,1808194,2016-03-27T16:46:00Z
A Song of Ice and Fire,0,2016-03-27T15:12:31Z
A Song of Ice and Fire,0,2016-03-20T22:24:54Z
A Song of Ice and Fire,15561127,2016-03-16T14:45:31Z
A Song of Ice and Fire,15561127,2016-03-15T15:53:07Z
A Song of Ice and Fire,15561127,2016-03-15T15:50:00Z
A Song of Ice and Fire,15561127,2016-03-15T15:49:03Z
A Song of Ice and Fire,15561127,2016-03-15T15:46:44Z
A Song of Ice and Fire,15561127,2016-03-15T15:36:12Z
A Song of Ice and Fire,15561127,2016-03-15T15:26:36Z
A Song of Ice and Fire,1808194,2016-03-14T21:15:55Z
A Song of Ice and Fire,1808194,2016-03-12T22:10:58Z
A Song of Ice and Fire,0,2016-03-12T20:19:18Z
A Song of Ice and Fire,19089174,2016-03-09T22:21:26Z
A Song of Ice and Fire,19089174,2016-03-09T22:20:12Z
A Song of Ice and Fire,13286072,2016-03-01T06:10:36Z
A Song of Ice and Fire,27712134,2016-03-01T06:10:27Z
A Song of Ice and Fire,27712134,2016-03-01T06:06:06Z
A Song of Ice and Fire,14385212,2016-02-28T19:31:16Z
A Song of Ice and Fire,8240947,2016-02-28T18:54:21Z
A Song of Ice and Fire,245620,2016-02-14T23:57:47Z
A Song of Ice and Fire,27573094,2016-02-14T06:24:18Z
A Song of Ice and Fire,245620,2016-02-11T23:33:09Z
A Song of Ice and Fire,1441427,2016-02-11T18:04:32Z
A Song of Ice and Fire,14385212,2016-01-23T16:37:29Z
A Song of Ice and Fire,1808194,2016-01-23T03:18:10Z
A Song of Ice and Fire,1808194,2016-01-21T19:55:32Z
A Song of Ice and Fire,19853006,2016-01-21T19:03:26Z
A Song of Ice and Fire,245620,2016-01-12T16:37:51Z
A Song of Ice and Fire,0,2016-01-12T14:18:47Z
A Song of Ice and Fire,7094824,2016-01-02T18:48:47Z
A Song of Ice and Fire,428795,2015-12-31T16:50:09Z
A Song of Ice and Fire,1808194,2015-12-22T13:35:18Z
A Song of Ice and Fire,0,2015-12-22T11:45:58Z
A Song of Ice and Fire,11137213,2015-12-07T16:22:56Z
A Song of Ice and Fire,359256,2015-12-07T16:18:18Z
A Song of Ice and Fire,19853006,2015-12-07T16:16:54Z
A Song of Ice and Fire,7436027,2015-12-07T09:30:18Z
